,url,description,tag,img,video,mois
05/02/2016,http://www.openculture.com/2016/02/walk-inside-a-salvador-dali-surrealist-painting-with-this-360o-virtual-reality-video.html,Se ballader dans un tableau de salvator dali en réalité virtuelle,art,https://media.giphy.com/media/W0EWNMBKtAyOI/giphy.gif,,01/02/2016
06/02/2016,http://9gag.com/tv/p/aA8Go8/long-distance-sex-toy-the-virtual-reality-virgin-preview,"Relation sexuelle à distance avec des ""Reality sex toys"".",insolite,https://media.giphy.com/media/uw0rgWupMFk6A/giphy.gif,,01/02/2016
09/02/2016,http://www.journaldugeek.com/2016/02/09/nasa-video-mars-360-curiosity/,La Nasa donne des photos en réalité virtuelle de Mars à l’aide de Curiosity.,tech,http://www.journaldugeek.com/wp-content/blogs.dir/1/files/2016/02/Mars.jpg,,01/02/2016
19/02/2016,http://www.sciencesetavenir.fr/sante/cerveau-et-psy/20160217.OBS4833/cerveau-quand-la-chirurgie-eveillee-se-fait-sous-realite-virtuelle.html,Enlever une tumeur en endormissant le patient a l’aide d’un casque de réalité virtuelle (France),social,http://referentiel.nouvelobs.com/file/14866733.jpg,,01/02/2016
22/02/2016,http://gematsu.com/2016/02/ibm-japan-announces-sword-art-online-virtual-reality-project,IBM va développer un jeu en réalité virtuelle où l’utilisateur devra utiliser son propre corps pour se déplacer.,tech,http://gematsu.com/wp-content/uploads/2016/02/SAO-VR-Ann_02-22-16.jpg,,01/02/2016
22/02/2016,http://www.theverge.com/2016/2/22/11087890/mark-zuckerberg-mwc-picture-future-samsung,"Image qui a fait le buzz sur le web, où l’on voit mark Zuckerberg entouré de personne avec des casques VR.",marketing,https://pbs.twimg.com/media/Cbw_bXzWAAIt_ap.jpg,,01/02/2016
22/02/2016,http://www.lemonde.fr/economie/article/2016/02/22/telephonie-mobile-la-course-a-l-innovation-est-lancee_4869544_3234.html?xtmc=realite_virtuelle&xtcr=6,Futur smartphone avec camera 360 et réalité virtuelle.,marketing,http://s1.lemde.fr/image2x/2016/02/22/534x0/4869543_7_ee44_alors-que-l-industrie-est-en-voie-de_7747b99a7afcd92a2b8ccaf2f0509ae6.jpg,,01/02/2016
27/02/2016,http://www.graphiline.com/article/22545/coca-cola-transforme-emballages-casques-de-realite-virtuelle,Coca-Cola transforme ces emballages pour devenir des casques VR,marketing,http://www.graphiline.com/src/images/news/articles/e048a2b1ec5dc052a6bd0dce42be47dc.png,,01/02/2016
27/02/2016,http://www.challenges.fr/high-tech/grand-public/20160226.CHA5542/la-camera-gear-360-de-samsung-au-service-de-la-realite-virtuelle.html,Sortie de la Camera Gear 360° de Samsung pour filmer en VR.,tech,http://referentiel.nouvelobs.com/file/14897175.jpg,,01/02/2016
29/02/2016,http://www.01net.com/actualites/microsoft-hololens-devoile-son-prix-et-son-potentiel-955408.html,Microsoft devoile le prix de la premiere version d’hololens et son potentiel.,tech,https://media.giphy.com/media/vCFeUHJgyvpIc/giphy.gif,,01/02/2016
04/03/2016,http://www.wareable.com/vr/kaleidoscope-vr-world-tour-2422,,art,http://www.wareable.com/media/imager/11128-9e2ed4313ab86bd08322c4b20dcff406.jpg,,01/03/2016
08/03/2016,http://www.theverge.com/2016/3/8/11177854/amazon-vr-platform-job-posting,Amazon veut créer une platforme pour en VR.,business,https://cdn2.vox-cdn.com/thumbor/oREKvNYeaNCcj2WGEi3slEr-L2Q=/0x0:2039x1359/2050x1367/filters:format(webp)/cdn0.vox-cdn.com/uploads/chorus_image/image/49019623/verge-2016-10-13_15-22-12.0.0.jpg,,01/03/2016
08/03/2016,http://www.theverge.com/2016/3/8/11179666/2016-rio-olympics-8K-virtual-reality,Tournage d'épreuve sportive en VR lors des jeux olympiques 2016 de Rio,business,https://cdn1.vox-cdn.com/thumbor/wrvZKN3eWlMKafpLmhH5bbyxvU0=/0x0:5121x3414/2050x1367/filters:format(webp)/cdn0.vox-cdn.com/uploads/chorus_image/image/49022235/GettyImages-514284002.0.jpg,,01/03/2016
